name,index,category,contents,status,time,on/off,URL,attachment,Google Drive,gen-time,edit-time,block-ID,post-block,[index] post-block,[index] pre-block,pre-block,Hash tag
@2026년 2월 13일 회의,회의록,메모,텍스트,cowork,2026년 2월 13일 오후 2:30 (GMT+9) → 2026년 2월 14일 오전 1:30 (GMT+9),No,,,,2026년 2월 27일 오후 9:16,2026년 3월 3일 오전 11:17,5,,,,,"ADMINISTRATIVE WORK, BRANDING, FINANCE"
@2026년 3월 2일 회의,회의록,메모,텍스트,cowork,2026년 3월 2일 오후 2:30 (GMT+9) → 오후 7:40,No,,,,2026년 3월 2일 오후 2:57,2026년 3월 3일 오전 10:58,41,20260311_유동환_회의준비 (https://www.notion.so/3205f502504180cba954c9a32a28c041?pvs=21),회의록,,,"BRANDING, MARKETING"
@2026년 2월 27일 회의,회의록,메모,텍스트,cowork,2026년 2월 27일 오후 2:00 (GMT+9) → 오후 9:30,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:47,4,,,,,"ADMINISTRATIVE WORK, BRANDING, CUSTOMER SERVICE, FINANCE"
PARA 노트 템플릿,SecondBrainOS,정보,데이터,cowork,2026년 2월 23일,No,,SecondBrainOS_System_Access_Kit.pdf,,2026년 2월 27일 오후 9:31,2026년 2월 27일 오후 9:35,40,,,,,BRANDING
빅블루요가 부가가치세 신고서 (@2025년 1월 30일),부가가치세 신고서,정보,스크랩,cowork,2025년 1월 30일,No,,%EB%B9%85%EB%B8%94%EB%A3%A8%EC%9A%94%EA%B0%80_%EB%B6%80%EA%B0%80%EA%B0%80%EC%B9%98%EC%84%B8_%EC%8B%A0%EA%B3%A0%EC%84%9C_(2025%EB%85%84_1%EC%9B%94_30%EC%9D%BC).pdf.pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,39,2025학년도 서울시립대학교 학생창업기업 신청서 및 제반서류 (https://www.notion.so/8b15f502504183179de2819c46ac8bee?pvs=21),2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,,,"ADMINISTRATIVE WORK, FINANCE"
2025학년도 서울시립대학교 학생창업기업 신청서 및 제반서류,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,정보,스크랩,cowork,2026년 1월 30일,No,,2025%ED%95%99%EB%85%84%EB%8F%84_%EC%84%9C%EC%9A%B8%EC%8B%9C%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90_%ED%95%99%EC%83%9D%EC%B0%BD%EC%97%85%EA%B8%B0%EC%97%85_%EC%8B%A0%EC%B2%AD%EC%84%9C_%EB%B0%8F_%EC%A0%9C%EB%B0%98%EC%84%9C%EB%A5%98.pdf,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,38,,,"2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금,사업자등록증,부가가치세 신고서,부가가치세 신고서","유동환 재적증명서 (@2026년 1월 27일) (https://www.notion.so/65e5f50250418285bd968192240d8fc5?pvs=21), 1. 학생창업기업 신청서_ 활동지원금 신청서_ 개인정보활용동의서 (https://www.notion.so/41c5f50250418228906e81c9d65425d8?pvs=21), 유동환 휴학증명서 (@2026년 1월 27일) (https://www.notion.so/18b5f502504183edabf401fe972edd71?pvs=21), 유동환 복학예정증명서 (@2026년 1월 27일) (https://www.notion.so/1f25f50250418258a92d81b55b4ad4d3?pvs=21), 빅블루요가 사업자등록증 (https://www.notion.so/d3e5f50250418207b9750187cdf4a60e?pvs=21), 빅블루요가 부가가치세 신고서 (@2026년 1월 27일) (https://www.notion.so/9045f502504182f08e3901bbe4d003d8?pvs=21), 빅블루요가 부가가치세 신고서 (@2025년 1월 30일) (https://www.notion.so/2a05f502504182e7908a817d6430a86a?pvs=21)",ADMINISTRATIVE WORK
2025학년도 서울시립대학교 학생창업기업 지원금 신청서,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,정보,문서,cowork,2026년 1월 30일,No,,2025%ED%95%99%EB%85%84%EB%8F%84_%EC%84%9C%EC%9A%B8%EC%8B%9C%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90_%ED%95%99%EC%83%9D%EC%B0%BD%EC%97%85%EA%B8%B0%EC%97%85_%EC%A7%80%EC%9B%90%EA%B8%88_%EC%8B%A0%EC%B2%AD%EC%84%9C.hwp,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,37,,,2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,1. 학생창업기업 신청서_ 활동지원금 신청서_ 개인정보활용동의서 (https://www.notion.so/41c5f50250418228906e81c9d65425d8?pvs=21),ADMINISTRATIVE WORK
@2026년 1월 30일 회의,회의록,메모,텍스트,cowork,2026년 1월 30일 오후 1:15 (GMT+9) → 오후 11:15,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,34,,,,,"ADMINISTRATIVE WORK, FINANCE"
@2026년 2월 3일 회의,회의록,메모,텍스트,cowork,2026년 2월 3일 오후 3:10 (GMT+9) → 오후 5:15,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,32,,,,,"BRANDING, CUSTOMER SERVICE"
[빅블루 요가] Notion 워크스페이스에 오신 것을 환영합니다.,zettel-kasten: [빅블루 요가] Notion 워크스페이스 작동 방식,메모,텍스트,cowork,2025년 7월 13일,No,,,,2026년 2월 27일 오후 9:16,2026년 2월 27일 오후 9:16,30,,,,,
